"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"TIKI MANGGALA JUNCTION",5,7,"","https://www.google.com/maps/place/TIKI+MANGGALA+JUNCTION/data=!4m7!3m6!1s0x2dbefb01b0127f85:0x1268f057c5eff4bc!8m2!3d-5.0948364!4d119.5124128!16s%2Fg%2F11t_trwjky!19sChIJhX8SsAH7vi0RvPTvxVfwaBI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+MANGGALA+JUNCTION/@-5.0948364,119.5124128,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefb01b0127f85:0x1268f057c5eff4bc!8m2!3d-5.0948364!4d119.5124128!16s%2Fg%2F11t_trwjky?authuser=0&hl=id&entry=ttu","119.5124128","-5.0948364","Alamat","juction Ruko A6, jl perintis kemerdekaan daya manggala, Pai, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90242"
"TIKI MANGGALA JUNCTION",5,7,"","https://www.google.com/maps/place/TIKI+MANGGALA+JUNCTION/data=!4m7!3m6!1s0x2dbefb01b0127f85:0x1268f057c5eff4bc!8m2!3d-5.0948364!4d119.5124128!16s%2Fg%2F11t_trwjky!19sChIJhX8SsAH7vi0RvPTvxVfwaBI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+MANGGALA+JUNCTION/@-5.0948364,119.5124128,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefb01b0127f85:0x1268f057c5eff4bc!8m2!3d-5.0948364!4d119.5124128!16s%2Fg%2F11t_trwjky?authuser=0&hl=id&entry=ttu","119.5124128","-5.0948364","Terletak di","Manggala Junction, New Atmosphere Of Celebes"
"TIKI MANGGALA JUNCTION",5,7,"","https://www.google.com/maps/place/TIKI+MANGGALA+JUNCTION/data=!4m7!3m6!1s0x2dbefb01b0127f85:0x1268f057c5eff4bc!8m2!3d-5.0948364!4d119.5124128!16s%2Fg%2F11t_trwjky!19sChIJhX8SsAH7vi0RvPTvxVfwaBI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+MANGGALA+JUNCTION/@-5.0948364,119.5124128,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefb01b0127f85:0x1268f057c5eff4bc!8m2!3d-5.0948364!4d119.5124128!16s%2Fg%2F11t_trwjky?authuser=0&hl=id&entry=ttu","119.5124128","-5.0948364","Situs Web","tiki.id"
"TIKI MANGGALA JUNCTION",5,7,"","https://www.google.com/maps/place/TIKI+MANGGALA+JUNCTION/data=!4m7!3m6!1s0x2dbefb01b0127f85:0x1268f057c5eff4bc!8m2!3d-5.0948364!4d119.5124128!16s%2Fg%2F11t_trwjky!19sChIJhX8SsAH7vi0RvPTvxVfwaBI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+MANGGALA+JUNCTION/@-5.0948364,119.5124128,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefb01b0127f85:0x1268f057c5eff4bc!8m2!3d-5.0948364!4d119.5124128!16s%2Fg%2F11t_trwjky?authuser=0&hl=id&entry=ttu","119.5124128","-5.0948364","Telepon","0852-4114-6811"
"TIKI MANGGALA JUNCTION",5,7,"","https://www.google.com/maps/place/TIKI+MANGGALA+JUNCTION/data=!4m7!3m6!1s0x2dbefb01b0127f85:0x1268f057c5eff4bc!8m2!3d-5.0948364!4d119.5124128!16s%2Fg%2F11t_trwjky!19sChIJhX8SsAH7vi0RvPTvxVfwaBI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+MANGGALA+JUNCTION/@-5.0948364,119.5124128,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefb01b0127f85:0x1268f057c5eff4bc!8m2!3d-5.0948364!4d119.5124128!16s%2Fg%2F11t_trwjky?authuser=0&hl=id&entry=ttu","119.5124128","-5.0948364","Plus Codes","WG46+3X Pai, Kota Makassar, Sulawesi Selatan"
"TIKI GERAI ANTANG",4.6,10,"unknown","https://www.google.com/maps/place/TIKI+GERAI+ANTANG/data=!4m7!3m6!1s0x2dbee383d358a43f:0x24f304183cc5c461!8m2!3d-5.1606283!4d119.477024!16s%2Fg%2F11h18ly1wj!19sChIJP6RY04Pjvi0RYcTFPBgE8yQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+GERAI+ANTANG/@-5.1606283,119.477024,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee383d358a43f:0x24f304183cc5c461!8m2!3d-5.1606283!4d119.477024!16s%2Fg%2F11h18ly1wj?authuser=0&hl=id&entry=ttu","119.477024","-5.1606283","Alamat","Jl. Antang Raya Komp Baverly Hills, Antang, Manggala, Makassar City, South Sulawesi 90234"
"TIKI GERAI ANTANG",4.6,10,"unknown","https://www.google.com/maps/place/TIKI+GERAI+ANTANG/data=!4m7!3m6!1s0x2dbee383d358a43f:0x24f304183cc5c461!8m2!3d-5.1606283!4d119.477024!16s%2Fg%2F11h18ly1wj!19sChIJP6RY04Pjvi0RYcTFPBgE8yQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+GERAI+ANTANG/@-5.1606283,119.477024,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee383d358a43f:0x24f304183cc5c461!8m2!3d-5.1606283!4d119.477024!16s%2Fg%2F11h18ly1wj?authuser=0&hl=id&entry=ttu","119.477024","-5.1606283","Situs Web","tiki.id"
"TIKI GERAI ANTANG",4.6,10,"unknown","https://www.google.com/maps/place/TIKI+GERAI+ANTANG/data=!4m7!3m6!1s0x2dbee383d358a43f:0x24f304183cc5c461!8m2!3d-5.1606283!4d119.477024!16s%2Fg%2F11h18ly1wj!19sChIJP6RY04Pjvi0RYcTFPBgE8yQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+GERAI+ANTANG/@-5.1606283,119.477024,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee383d358a43f:0x24f304183cc5c461!8m2!3d-5.1606283!4d119.477024!16s%2Fg%2F11h18ly1wj?authuser=0&hl=id&entry=ttu","119.477024","-5.1606283","Telepon","(0411) 298819"
"TIKI GERAI ANTANG",4.6,10,"unknown","https://www.google.com/maps/place/TIKI+GERAI+ANTANG/data=!4m7!3m6!1s0x2dbee383d358a43f:0x24f304183cc5c461!8m2!3d-5.1606283!4d119.477024!16s%2Fg%2F11h18ly1wj!19sChIJP6RY04Pjvi0RYcTFPBgE8yQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+GERAI+ANTANG/@-5.1606283,119.477024,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee383d358a43f:0x24f304183cc5c461!8m2!3d-5.1606283!4d119.477024!16s%2Fg%2F11h18ly1wj?authuser=0&hl=id&entry=ttu","119.477024","-5.1606283","Plus Codes","RFQG+PR Antang, Kota Makassar, Sulawesi Selatan"
"TIKI PENGAYOMAN",4.2,21,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+PENGAYOMAN/data=!4m7!3m6!1s0x2dbee39efabe9be5:0x6b60a6e7a86929a2!8m2!3d-5.1584405!4d119.443257!16s%2Fg%2F11h236v3h_!19sChIJ5Zu--p7jvi0RoilpqOemYGs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+PENGAYOMAN/@-5.1584405,119.443257,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee39efabe9be5:0x6b60a6e7a86929a2!8m2!3d-5.1584405!4d119.443257!16s%2Fg%2F11h236v3h_?authuser=0&hl=id&entry=ttu","119.443257","-5.1584405","Alamat","Jl. Pengayoman No.41, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90222"
