"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"TIKI Batusangkar",3.3,15,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/TIKI+Batusangkar/data=!4m7!3m6!1s0x2fd52d69140782ab:0x60aba155ff68b64d!8m2!3d-0.4560635!4d100.5931017!16s%2Fg%2F11by_gxrhn!19sChIJq4IHFGkt1S8RTbZo_1Whq2A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Batusangkar/@-0.4560635,100.5931017,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd52d69140782ab:0x60aba155ff68b64d!8m2!3d-0.4560635!4d100.5931017!16s%2Fg%2F11by_gxrhn?authuser=0&hl=id&entry=ttu","100.5931017","-0.4560635","Alamat","Jl. Soekarno-Hatta No.49, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27212"
"TIKI Batusangkar",3.3,15,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/TIKI+Batusangkar/data=!4m7!3m6!1s0x2fd52d69140782ab:0x60aba155ff68b64d!8m2!3d-0.4560635!4d100.5931017!16s%2Fg%2F11by_gxrhn!19sChIJq4IHFGkt1S8RTbZo_1Whq2A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Batusangkar/@-0.4560635,100.5931017,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd52d69140782ab:0x60aba155ff68b64d!8m2!3d-0.4560635!4d100.5931017!16s%2Fg%2F11by_gxrhn?authuser=0&hl=id&entry=ttu","100.5931017","-0.4560635","Telepon","(0752) 71542"
"TIKI Batusangkar",3.3,15,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/TIKI+Batusangkar/data=!4m7!3m6!1s0x2fd52d69140782ab:0x60aba155ff68b64d!8m2!3d-0.4560635!4d100.5931017!16s%2Fg%2F11by_gxrhn!19sChIJq4IHFGkt1S8RTbZo_1Whq2A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Batusangkar/@-0.4560635,100.5931017,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd52d69140782ab:0x60aba155ff68b64d!8m2!3d-0.4560635!4d100.5931017!16s%2Fg%2F11by_gxrhn?authuser=0&hl=id&entry=ttu","100.5931017","-0.4560635","Plus Codes","GHVV+H6 Baringin, Kabupaten Tanah Datar, Sumatera Barat"
"Tiki Sub Agen Utama Padang 18",NA,NA,"unknown","https://www.google.com/maps/place/Tiki+Sub+Agen+Utama+Padang+18/data=!4m7!3m6!1s0x2fd52d6995555555:0x7bb6eda9d5dadbc1!8m2!3d-0.4553131!4d100.5957288!16s%2Fg%2F1ptx919p8!19sChIJVVVVlWkt1S8Rwdva1anttns?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Sub+Agen+Utama+Padang+18/@-0.4553131,100.5957288,14z/data=!3m1!4b1!4m6!3m5!1s0x2fd52d6995555555:0x7bb6eda9d5dadbc1!8m2!3d-0.4553131!4d100.5957288!16s%2Fg%2F1ptx919p8?authuser=0&hl=id&entry=ttu","100.5957288","-0.4553131","Alamat","Jl. Soekarno Hatta No.44 Batusangkar, Belakang Pajak, Baringin, V Kaum, Kabupaten Tanah Datar, Sumatera Barat 27212"
"Tiki Sub Agen Utama Padang 18",NA,NA,"unknown","https://www.google.com/maps/place/Tiki+Sub+Agen+Utama+Padang+18/data=!4m7!3m6!1s0x2fd52d6995555555:0x7bb6eda9d5dadbc1!8m2!3d-0.4553131!4d100.5957288!16s%2Fg%2F1ptx919p8!19sChIJVVVVlWkt1S8Rwdva1anttns?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Sub+Agen+Utama+Padang+18/@-0.4553131,100.5957288,14z/data=!3m1!4b1!4m6!3m5!1s0x2fd52d6995555555:0x7bb6eda9d5dadbc1!8m2!3d-0.4553131!4d100.5957288!16s%2Fg%2F1ptx919p8?authuser=0&hl=id&entry=ttu","100.5957288","-0.4553131","Telepon","(0752) 71542"
"Tiki",5,1,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2fd53a4edcf57d77:0xf8ce727aa5015a52!8m2!3d-0.3927834!4d100.4026101!16s%2Fg%2F11bzrn_tsq!19sChIJd3313E461S8RUloBpXpyzvg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-0.3927834,100.4026101,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd53a4edcf57d77:0xf8ce727aa5015a52!8m2!3d-0.3927834!4d100.4026101!16s%2Fg%2F11bzrn_tsq?authuser=0&hl=id&entry=ttu","100.4026101","-0.3927834","Alamat","JC43+V2Q, Koto Baru, Kec. Sepuluh Koto, Kabupaten Tanah Datar, Sumatera Barat 26181"
"Tiki Rampanai",NA,NA,"unknown","https://www.google.com/maps/place/Tiki+Rampanai/data=!4m7!3m6!1s0x2fd52f7ce8174de9:0x835c3f9da7581536!8m2!3d-0.4874891!4d100.4691256!16s%2Fg%2F11p5jw2j03!19sChIJ6U0X6Hwv1S8RNhVYp50_XIM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Rampanai/@-0.4874891,100.4691256,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd52f7ce8174de9:0x835c3f9da7581536!8m2!3d-0.4874891!4d100.4691256!16s%2Fg%2F11p5jw2j03?authuser=0&hl=id&entry=ttu","100.4691256","-0.4874891","Alamat","GF79+2M2, Batipuh Baruah, Kec. Batipuh, Kabupaten Tanah Datar, Sumatera Barat 27265"
"GERAI TIKI DAN PPOB BENNY",NA,NA,"unknown","https://www.google.com/maps/place/GERAI+TIKI+DAN+PPOB+BENNY/data=!4m7!3m6!1s0x2fd53344fa4ec705:0x145c1aaa6beee7d8!8m2!3d-0.4158725!4d100.567817!16s%2Fg%2F11sq5g9mn0!19sChIJBcdO-kQz1S8R2Ofua6oaXBQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/GERAI+TIKI+DAN+PPOB+BENNY/@-0.4158725,100.567817,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd53344fa4ec705:0x145c1aaa6beee7d8!8m2!3d-0.4158725!4d100.567817!16s%2Fg%2F11sq5g9mn0?authuser=0&hl=id&entry=ttu","100.567817","-0.4158725","Alamat","Jln raya, Jl. Raya Batusangkar bukittinggi No.km 5, Sungai Tarab, Kec. Sungai Tarab, Kabupaten Tanah Datar, Sumatera Barat 27261"
"GERAI TIKI DAN PPOB BENNY",NA,NA,"unknown","https://www.google.com/maps/place/GERAI+TIKI+DAN+PPOB+BENNY/data=!4m7!3m6!1s0x2fd53344fa4ec705:0x145c1aaa6beee7d8!8m2!3d-0.4158725!4d100.567817!16s%2Fg%2F11sq5g9mn0!19sChIJBcdO-kQz1S8R2Ofua6oaXBQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/GERAI+TIKI+DAN+PPOB+BENNY/@-0.4158725,100.567817,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd53344fa4ec705:0x145c1aaa6beee7d8!8m2!3d-0.4158725!4d100.567817!16s%2Fg%2F11sq5g9mn0?authuser=0&hl=id&entry=ttu","100.567817","-0.4158725","Plus Codes","HHM9+M4 Sungai Tarab, Kabupaten Tanah Datar, Sumatera Barat"
"Agen TIKI & BRI Link",NA,NA,"unknown","https://www.google.com/maps/place/Agen+TIKI+%26+BRI+Link/data=!4m7!3m6!1s0x2e2ad5b2313a4041:0x3e0f0b7ae16d2d23!8m2!3d-0.5248299!4d100.700345!16s%2Fg%2F11qqkjpbxp!19sChIJQUA6MbLVKi4RIy1t4XoLDz4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agen+TIKI+%26+BRI+Link/@-0.5248299,100.700345,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2ad5b2313a4041:0x3e0f0b7ae16d2d23!8m2!3d-0.5248299!4d100.700345!16s%2Fg%2F11qqkjpbxp?authuser=0&hl=id&entry=ttu","100.700345","-0.5248299","Alamat","FPG2+349, Padang Ganting, Kec. Padang Ganting, Kabupaten Tanah Datar, Sumatera Barat 27281"
