"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"TIKI Kyai Mojo",4.7,50,"Segera tutup ⋅ 17.00 ⋅ Buka Sel pukul 08.30","https://www.google.com/maps/place/TIKI+Kyai+Mojo/data=!4m7!3m6!1s0x2e7a583db2c0b143:0x1fe8d275e314582e!8m2!3d-7.782918!4d110.3577!16s%2Fg%2F11cms_g424!19sChIJQ7HAsj1Yei4RLlgU43XS6B8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Kyai+Mojo/@-7.782918,110.3577,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a583db2c0b143:0x1fe8d275e314582e!8m2!3d-7.782918!4d110.3577!16s%2Fg%2F11cms_g424?authuser=0&hl=id&entry=ttu","110.3577","-7.782918","Alamat","Jl. Kyai Mojo No.17, Bumijo, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55243"
"TIKI Kyai Mojo",4.7,50,"Segera tutup ⋅ 17.00 ⋅ Buka Sel pukul 08.30","https://www.google.com/maps/place/TIKI+Kyai+Mojo/data=!4m7!3m6!1s0x2e7a583db2c0b143:0x1fe8d275e314582e!8m2!3d-7.782918!4d110.3577!16s%2Fg%2F11cms_g424!19sChIJQ7HAsj1Yei4RLlgU43XS6B8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Kyai+Mojo/@-7.782918,110.3577,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a583db2c0b143:0x1fe8d275e314582e!8m2!3d-7.782918!4d110.3577!16s%2Fg%2F11cms_g424?authuser=0&hl=id&entry=ttu","110.3577","-7.782918","Situs Web","tiki.id"
"TIKI Kyai Mojo",4.7,50,"Segera tutup ⋅ 17.00 ⋅ Buka Sel pukul 08.30","https://www.google.com/maps/place/TIKI+Kyai+Mojo/data=!4m7!3m6!1s0x2e7a583db2c0b143:0x1fe8d275e314582e!8m2!3d-7.782918!4d110.3577!16s%2Fg%2F11cms_g424!19sChIJQ7HAsj1Yei4RLlgU43XS6B8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Kyai+Mojo/@-7.782918,110.3577,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a583db2c0b143:0x1fe8d275e314582e!8m2!3d-7.782918!4d110.3577!16s%2Fg%2F11cms_g424?authuser=0&hl=id&entry=ttu","110.3577","-7.782918","Telepon","0812-2732-729"
"TIKI Kyai Mojo",4.7,50,"Segera tutup ⋅ 17.00 ⋅ Buka Sel pukul 08.30","https://www.google.com/maps/place/TIKI+Kyai+Mojo/data=!4m7!3m6!1s0x2e7a583db2c0b143:0x1fe8d275e314582e!8m2!3d-7.782918!4d110.3577!16s%2Fg%2F11cms_g424!19sChIJQ7HAsj1Yei4RLlgU43XS6B8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Kyai+Mojo/@-7.782918,110.3577,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a583db2c0b143:0x1fe8d275e314582e!8m2!3d-7.782918!4d110.3577!16s%2Fg%2F11cms_g424?authuser=0&hl=id&entry=ttu","110.3577","-7.782918","Plus Codes","6985+R3 Bumijo, Kota Yogyakarta, Daerah Istimewa Yogyakarta"
"Tiki Mantrigawen",4.3,8,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Tiki+Mantrigawen/data=!4m7!3m6!1s0x2e7a57903fffffff:0x5229c36cb7d5af1a!8m2!3d-7.8092275!4d110.3677736!16s%2Fg%2F1ptxr7d_3!19sChIJ____P5BXei4RGq_Vt2zDKVI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Mantrigawen/@-7.8092275,110.3677736,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57903fffffff:0x5229c36cb7d5af1a!8m2!3d-7.8092275!4d110.3677736!16s%2Fg%2F1ptxr7d_3?authuser=0&hl=id&entry=ttu","110.3677736","-7.8092275","Alamat","Jl. Mantrigawen Lor No.28, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131"
"Tiki Mantrigawen",4.3,8,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Tiki+Mantrigawen/data=!4m7!3m6!1s0x2e7a57903fffffff:0x5229c36cb7d5af1a!8m2!3d-7.8092275!4d110.3677736!16s%2Fg%2F1ptxr7d_3!19sChIJ____P5BXei4RGq_Vt2zDKVI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Mantrigawen/@-7.8092275,110.3677736,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57903fffffff:0x5229c36cb7d5af1a!8m2!3d-7.8092275!4d110.3677736!16s%2Fg%2F1ptxr7d_3?authuser=0&hl=id&entry=ttu","110.3677736","-7.8092275","Telepon","(0274) 374737"
"Tiki Mantrigawen",4.3,8,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Tiki+Mantrigawen/data=!4m7!3m6!1s0x2e7a57903fffffff:0x5229c36cb7d5af1a!8m2!3d-7.8092275!4d110.3677736!16s%2Fg%2F1ptxr7d_3!19sChIJ____P5BXei4RGq_Vt2zDKVI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Mantrigawen/@-7.8092275,110.3677736,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57903fffffff:0x5229c36cb7d5af1a!8m2!3d-7.8092275!4d110.3677736!16s%2Fg%2F1ptxr7d_3?authuser=0&hl=id&entry=ttu","110.3677736","-7.8092275","Plus Codes","59R9+84 Panembahan, Kota Yogyakarta, Daerah Istimewa Yogyakarta"
"Tiki Giwangan꧋ꦠꦶꦏꦶꦒꦶꦮꦔꦤ꧀",3.3,3,"Segera tutup ⋅ 17.00 ⋅ Buka Sel pukul 10.00","https://www.google.com/maps/place/Tiki+Giwangan%EA%A7%8B%EA%A6%A0%EA%A6%B6%EA%A6%8F%EA%A6%B6%EA%A6%92%EA%A6%B6%EA%A6%AE%EA%A6%94%EA%A6%A4%EA%A7%80/data=!4m7!3m6!1s0x2e7a57052f86f9bb:0x26f76cbe44a0dbd7!8m2!3d-7.8277661!4d110.389749!16s%2Fg%2F11gcx9vcnt!19sChIJu_mGLwVXei4R19ugRL5s9yY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Giwangan%EA%A7%8B%EA%A6%A0%EA%A6%B6%EA%A6%8F%EA%A6%B6%EA%A6%92%EA%A6%B6%EA%A6%AE%EA%A6%94%EA%A6%A4%EA%A7%80/@-7.8277661,110.389749,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57052f86f9bb:0x26f76cbe44a0dbd7!8m2!3d-7.8277661!4d110.389749!16s%2Fg%2F11gcx9vcnt?authuser=0&hl=id&entry=ttu","110.389749","-7.8277661","Alamat","Jl. Imogiri Tim. No.144, Giwangan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55163"
"Tiki Giwangan꧋ꦠꦶꦏꦶꦒꦶꦮꦔꦤ꧀",3.3,3,"Segera tutup ⋅ 17.00 ⋅ Buka Sel pukul 10.00","https://www.google.com/maps/place/Tiki+Giwangan%EA%A7%8B%EA%A6%A0%EA%A6%B6%EA%A6%8F%EA%A6%B6%EA%A6%92%EA%A6%B6%EA%A6%AE%EA%A6%94%EA%A6%A4%EA%A7%80/data=!4m7!3m6!1s0x2e7a57052f86f9bb:0x26f76cbe44a0dbd7!8m2!3d-7.8277661!4d110.389749!16s%2Fg%2F11gcx9vcnt!19sChIJu_mGLwVXei4R19ugRL5s9yY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Giwangan%EA%A7%8B%EA%A6%A0%EA%A6%B6%EA%A6%8F%EA%A6%B6%EA%A6%92%EA%A6%B6%EA%A6%AE%EA%A6%94%EA%A6%A4%EA%A7%80/@-7.8277661,110.389749,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57052f86f9bb:0x26f76cbe44a0dbd7!8m2!3d-7.8277661!4d110.389749!16s%2Fg%2F11gcx9vcnt?authuser=0&hl=id&entry=ttu","110.389749","-7.8277661","Situs Web","tikiyogyakarta.com"
"Tiki Giwangan꧋ꦠꦶꦏꦶꦒꦶꦮꦔꦤ꧀",3.3,3,"Segera tutup ⋅ 17.00 ⋅ Buka Sel pukul 10.00","https://www.google.com/maps/place/Tiki+Giwangan%EA%A7%8B%EA%A6%A0%EA%A6%B6%EA%A6%8F%EA%A6%B6%EA%A6%92%EA%A6%B6%EA%A6%AE%EA%A6%94%EA%A6%A4%EA%A7%80/data=!4m7!3m6!1s0x2e7a57052f86f9bb:0x26f76cbe44a0dbd7!8m2!3d-7.8277661!4d110.389749!16s%2Fg%2F11gcx9vcnt!19sChIJu_mGLwVXei4R19ugRL5s9yY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Giwangan%EA%A7%8B%EA%A6%A0%EA%A6%B6%EA%A6%8F%EA%A6%B6%EA%A6%92%EA%A6%B6%EA%A6%AE%EA%A6%94%EA%A6%A4%EA%A7%80/@-7.8277661,110.389749,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57052f86f9bb:0x26f76cbe44a0dbd7!8m2!3d-7.8277661!4d110.389749!16s%2Fg%2F11gcx9vcnt?authuser=0&hl=id&entry=ttu","110.389749","-7.8277661","Telepon","0896-1273-0487"
